sector,subsector,category,ID,Gas,2010,2012,2014,2016,2018,Code
"3 - Agriculture, Forestry, and Other Land Use",3.B.5 - Settlements,3.B.5 - Settlements,3.B.5 - Settlements:CO2,CO2,0.3486,0.3708,0.5721,0.6094,0.6391,MAR
"3 - Agriculture, Forestry, and Other Land Use",3.B.6 - Other land,3.B.6 - Other land,3.B.6 - Other land:CO2,CO2,0.0364,0.085,0.0843,0.0837,0.3174,MAR
"3 - Agriculture, Forestry, and Other Land Use",3.C.3 - Urea application,3.C.3 - Urea application,3.C.3 - Urea application:CO2,CO2,0.02821,0.02405,0.03405,0.03405,0.03405,MAR
"3 - Agriculture, Forestry, and Other Land Use",3.C.4 - Direct N2O Emissions from managed soils,3.C.4 - Direct N2O Emissions from managed soils,3.C.4 - Direct N2O Emissions from managed soils:N2O,N2O,6.96235,7.01736,7.65424,7.4071,8.35912,MAR
"3 - Agriculture, Forestry, and Other Land Use",3.C.5 - Indirect N2O Emissions from managed soils,3.C.5 - Indirect N2O Emissions from managed soils,3.C.5 - Indirect N2O Emissions from managed soils:N2O,N2O,2.12334,2.1683,2.33376,2.27992,2.52048,MAR
"3 - Agriculture, Forestry, and Other Land Use",3.C.6 - Indirect N2O Emissions from manure management,3.C.6 - Indirect N2O Emissions from manure management,3.C.6 - Indirect N2O Emissions from manure management:N2O,N2O,0.37394,0.40573,0.43479,0.43535,0.46438,MAR
"3 - Agriculture, Forestry, and Other Land Use",3.C.7 - Rice cultivation,3.C.7 - Rice cultivation,3.C.7 - Rice cultivation:CH4,CH4,0.01306,0.0161,0.00775,0.01323,0.01423,MAR
4 - Waste,4.A.1 - Managed Waste Disposal Sites,4.A.1 - Managed Waste Disposal Sites,4.A.1 - Managed Waste Disposal Sites:CH4,CH4,0.7168,0.8261,0.9295,1.0787,1.135,MAR
4 - Waste,4.A.2 - Unmanaged Waste Disposal Sites,4.A.2 - Unmanaged Waste Disposal Sites,4.A.2 - Unmanaged Waste Disposal Sites:CH4,CH4,1.6804,1.7311,1.7985,2.032,2.196,MAR
4 - Waste,4.D.1 - Domestic Wastewater,4.D.1 - Domestic Wastewater,4.D.1 - Domestic Wastewater:CH4,CH4,1.22686719295093,1.24950753664274,1.2699,1.28822235720856,1.30841490561524,MAR
4 - Waste,4.D.1 - Domestic Wastewater,4.D.1 - Domestic Wastewater,4.D.1 - Domestic Wastewater:N2O,N2O,0.38693280704907,0.408402463357259,0.4284,0.44037764279144,0.447185094384762,MAR
