subsector_ssp,sector,subsector,category,aggregation_category,gas,ID,vars,ids,MAR
lndu,"3 - Agriculture, Forestry, and Other Land Use",3.B.2 - Cropland,3.B.2 - Cropland,Land Use,CO2,3.B.2 - Cropland:CO2,emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_lndu_conversion_croplands_to_croplands:emission_co2e_co2_lndu_conversion_flooded_to_croplands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_croplands:emission_co2e_co2_lndu_conversion_forests_primary_to_croplands:emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands:emission_co2e_co2_lndu_conversion_grasslands_to_croplands:emission_co2e_co2_lndu_conversion_other_to_croplands:emission_co2e_co2_lndu_conversion_pastures_to_croplands:emission_co2e_co2_lndu_conversion_settlements_to_croplands:emission_co2e_co2_lndu_conversion_shrublands_to_croplands:emission_co2e_co2_lndu_conversion_wetlands_to_croplands:emission_co2e_co2_lndu_drained_organic_soils_croplands,39:3.B.2 - Cropland:CO2,-0.3742
lndu,"3 - Agriculture, Forestry, and Other Land Use",3.B.3 - Grassland,3.B.3 - Grassland,Land Use,CO2,3.B.3 - Grassland:CO2,emission_co2e_co2_lndu_biomass_sequestration_grasslands:emission_co2e_co2_lndu_biomass_sequestration_pastures:emission_co2e_co2_lndu_conversion_croplands_to_grasslands:emission_co2e_co2_lndu_conversion_croplands_to_pastures:emission_co2e_co2_lndu_conversion_flooded_to_grasslands:emission_co2e_co2_lndu_conversion_flooded_to_pastures:emission_co2e_co2_lndu_conversion_forests_mangroves_to_grasslands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_pastures:emission_co2e_co2_lndu_conversion_forests_primary_to_grasslands:emission_co2e_co2_lndu_conversion_forests_primary_to_pastures:emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands:emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures:emission_co2e_co2_lndu_conversion_grasslands_to_grasslands:emission_co2e_co2_lndu_conversion_grasslands_to_pastures:emission_co2e_co2_lndu_conversion_other_to_grasslands:emission_co2e_co2_lndu_conversion_other_to_pastures:emission_co2e_co2_lndu_conversion_pastures_to_grasslands:emission_co2e_co2_lndu_conversion_pastures_to_pastures:emission_co2e_co2_lndu_conversion_settlements_to_grasslands:emission_co2e_co2_lndu_conversion_settlements_to_pastures:emission_co2e_co2_lndu_conversion_shrublands_to_grasslands:emission_co2e_co2_lndu_conversion_shrublands_to_pastures:emission_co2e_co2_lndu_conversion_wetlands_to_grasslands:emission_co2e_co2_lndu_conversion_wetlands_to_pastures:emission_co2e_co2_lndu_drained_organic_soils_pastures,40:3.B.3 - Grassland:CO2,0.302
lndu,"3 - Agriculture, Forestry, and Other Land Use",3.B.4 - Wetlands,3.B.4 - Wetlands,Land Use,CO2,3.B.4 - Wetlands:CO2,emission_co2e_co2_lndu_biomass_sequestration_wetlands:emission_co2e_co2_lndu_conversion_croplands_to_flooded:emission_co2e_co2_lndu_conversion_croplands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_flooded:emission_co2e_co2_lndu_conversion_flooded_to_wetlands:emission_co2e_co2_lndu_conversion_grasslands_to_flooded:emission_co2e_co2_lndu_conversion_grasslands_to_wetlands:emission_co2e_co2_lndu_conversion_other_to_flooded:emission_co2e_co2_lndu_conversion_other_to_wetlands:emission_co2e_co2_lndu_conversion_pastures_to_flooded:emission_co2e_co2_lndu_conversion_pastures_to_wetlands:emission_co2e_co2_lndu_conversion_settlements_to_flooded:emission_co2e_co2_lndu_conversion_settlements_to_wetlands:emission_co2e_co2_lndu_conversion_shrublands_to_flooded:emission_co2e_co2_lndu_conversion_shrublands_to_wetlands:emission_co2e_co2_lndu_conversion_wetlands_to_flooded:emission_co2e_co2_lndu_conversion_wetlands_to_wetlands,41:3.B.4 - Wetlands:CO2,-0.1464
lndu,"3 - Agriculture, Forestry, and Other Land Use",3.B.5 - Settlements,3.B.5 - Settlements,Land Use,CO2,3.B.5 - Settlements:CO2,emission_co2e_co2_lndu_biomass_sequestration_settlements:emission_co2e_co2_lndu_conversion_croplands_to_settlements:emission_co2e_co2_lndu_conversion_flooded_to_settlements:emission_co2e_co2_lndu_conversion_forests_mangroves_to_settlements:emission_co2e_co2_lndu_conversion_forests_primary_to_settlements:emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements:emission_co2e_co2_lndu_conversion_grasslands_to_settlements:emission_co2e_co2_lndu_conversion_other_to_settlements:emission_co2e_co2_lndu_conversion_pastures_to_settlements:emission_co2e_co2_lndu_conversion_settlements_to_settlements:emission_co2e_co2_lndu_conversion_shrublands_to_settlements:emission_co2e_co2_lndu_conversion_wetlands_to_settlements,42:3.B.5 - Settlements:CO2,0.6391
lndu,"3 - Agriculture, Forestry, and Other Land Use",3.B.6 - Other land,3.B.6 - Other land,Land Use,CO2,3.B.6 - Other land:CO2,emission_co2e_co2_lndu_biomass_sequestration_other:emission_co2e_co2_lndu_biomass_sequestration_shrublands:emission_co2e_co2_lndu_conversion_croplands_to_other:emission_co2e_co2_lndu_conversion_croplands_to_shrublands:emission_co2e_co2_lndu_conversion_flooded_to_other:emission_co2e_co2_lndu_conversion_flooded_to_shrublands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_flooded:emission_co2e_co2_lndu_conversion_forests_mangroves_to_other:emission_co2e_co2_lndu_conversion_forests_mangroves_to_shrublands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_wetlands:emission_co2e_co2_lndu_conversion_forests_primary_to_flooded:emission_co2e_co2_lndu_conversion_forests_primary_to_other:emission_co2e_co2_lndu_conversion_forests_primary_to_shrublands:emission_co2e_co2_lndu_conversion_forests_primary_to_wetlands:emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded:emission_co2e_co2_lndu_conversion_forests_secondary_to_other:emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands:emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands:emission_co2e_co2_lndu_conversion_grasslands_to_other:emission_co2e_co2_lndu_conversion_grasslands_to_shrublands:emission_co2e_co2_lndu_conversion_other_to_other:emission_co2e_co2_lndu_conversion_other_to_shrublands:emission_co2e_co2_lndu_conversion_pastures_to_other:emission_co2e_co2_lndu_conversion_pastures_to_shrublands:emission_co2e_co2_lndu_conversion_settlements_to_other:emission_co2e_co2_lndu_conversion_settlements_to_shrublands:emission_co2e_co2_lndu_conversion_shrublands_to_other:emission_co2e_co2_lndu_conversion_shrublands_to_shrublands:emission_co2e_co2_lndu_conversion_wetlands_to_other:emission_co2e_co2_lndu_conversion_wetlands_to_shrublands,43:3.B.6 - Other land:CO2,0.3174
agrc,"3 - Agriculture, Forestry, and Other Land Use",3.C.1 - Emissions from biomass burning,3.C.1 - Emissions from biomass burning,Agriculture and Managed Soil,CH4,3.C.1 - Emissions from biomass burning:CH4,emission_co2e_ch4_agrc_biomass_burning,44:3.C.1 - Emissions from biomass burning:CH4,0.0
agrc,"3 - Agriculture, Forestry, and Other Land Use",3.C.1 - Emissions from biomass burning,3.C.1 - Emissions from biomass burning,Agriculture and Managed Soil,N2O,3.C.1 - Emissions from biomass burning:N2O,emission_co2e_n2o_agrc_biomass_burning,45:3.C.1 - Emissions from biomass burning:N2O,0.0
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.2 - Liming,3.C.2 - Liming,Agriculture and Managed Soil,CO2,3.C.2 - Liming:CO2,emission_co2e_co2_soil_lime_use,46:3.C.2 - Liming:CO2,0.0
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.3 - Urea application,3.C.3 - Urea application,Agriculture and Managed Soil,CO2,3.C.3 - Urea application:CO2,emission_co2e_co2_soil_urea_use,47:3.C.3 - Urea application:CO2,0.03405
lsmm,"3 - Agriculture, Forestry, and Other Land Use",3.C.6 - Indirect N2O Emissions from manure management,3.C.6 - Indirect N2O Emissions from manure management,Agriculture and Managed Soil,N2O,3.C.6 - Indirect N2O Emissions from manure management:N2O,emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid,50:3.C.6 - Indirect N2O Emissions from manure management:N2O,0.46438
agrc,"3 - Agriculture, Forestry, and Other Land Use",3.C.7 - Rice cultivation,3.C.7 - Rice cultivation,Agriculture and Managed Soil,CH4,3.C.7 - Rice cultivation:CH4,emission_co2e_ch4_agrc_anaerobicdom_rice,51:3.C.7 - Rice cultivation:CH4,0.01423
waso,4 - Waste,4.A.1 - Managed Waste Disposal Sites,4.A.1 - Managed Waste Disposal Sites,Solid Waste,CH4,4.A.1 - Managed Waste Disposal Sites:CH4,emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard,52:4.A.1 - Managed Waste Disposal Sites:CH4,1.135
waso,4 - Waste,4.A.2 - Unmanaged Waste Disposal Sites,4.A.2 - Unmanaged Waste Disposal Sites,Solid Waste,CH4,4.A.2 - Unmanaged Waste Disposal Sites:CH4,emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard,53:4.A.2 - Unmanaged Waste Disposal Sites:CH4,2.196
trww,4 - Waste,4.D.1 - Domestic Wastewater,4.D.1 - Domestic Wastewater,Wastewater Treatment,CH4,4.D.1 - Domestic Wastewater:CH4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment,55:4.D.1 - Domestic Wastewater:CH4,1.30841490561524
trww,4 - Waste,4.D.1 - Domestic Wastewater,4.D.1 - Domestic Wastewater,Wastewater Treatment,N2O,4.D.1 - Domestic Wastewater:N2O,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment,56:4.D.1 - Domestic Wastewater:N2O,0.447185094384762
ccsq,5 - CCSQ,5 - CCSQ,5 - CCSQ,CCSQ,CH4,5 - CCSQ:CH4,emission_co2e_ch4_ccsq_direct_air_capture,59:5 - CCSQ:CH4,0.0
ccsq,5 - CCSQ,5 - CCSQ,5 - CCSQ,CCSQ,CO2,5 - CCSQ:CO2,emission_co2e_co2_ccsq_direct_air_capture,60:5 - CCSQ:CO2,0.0
ccsq,5 - CCSQ,5 - CCSQ,5 - CCSQ,CCSQ,N2O,5 - CCSQ:N2O,emission_co2e_n2o_ccsq_direct_air_capture,61:5 - CCSQ:N2O,0.0
soil,"3 - Agriculture, Forestry, and Other Land Use",3.C.4 - Direct N2O Emissions from managed soils,3.C.4-5 - Direct + Indirect N2O Emissions from managed soils,Agriculture and Managed Soil,N2O,3.C.4-5 - Direct + Indirect N2O Emissions from managed soils:N2O,emission_co2e_n2o_agrc_crop_residues:emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils,48:3.C.4-5 - Direct + Indirect N2O Emissions from managed soils:N2O,10.8796
